,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
64,asymmetric,max1,0.0, 0.0, 0.0, inf, 1
66,asymmetric,max1,0.01, 0.0, 0.0, inf, 1
68,asymmetric,max1,0.02, 0.0, 0.0, inf, 1
73,asymmetric,max1,0.03, 0.0, 0.0, inf, 1
75,asymmetric,max1,0.04, 0.0, 0.0, inf, 1
77,asymmetric,max1,0.05, 0.0, 0.0, inf, 1
69,asymmetric,max1,0.06, 0.0, 0.0, inf, 1
78,asymmetric,max1,0.07, 0.0, 0.0, inf, 1
79,asymmetric,max1,0.08, 0.0, 0.0, inf, 1
71,asymmetric,max1,0.09, 0.0, 0.0, inf, 1
86,asymmetric,max1,0.1, 0.0, 0.0, inf, 1
90,asymmetric,max1,0.11, 0.0, 0.0, inf, 1
85,asymmetric,max1,0.12, 0.0, 0.0, inf, 1
84,asymmetric,max1,0.13, 0.0, 0.0, inf, 1
91,asymmetric,max1,0.14, 0.0, 0.0, inf, 1
92,asymmetric,max1,0.15, 0.0, 0.0, inf, 1
96,asymmetric,max1,0.16, 0.0, 0.0, inf, 1
98,asymmetric,max1,0.17, 0.0, 0.0, inf, 1
100,asymmetric,max1,0.18, 0.0, 0.0, inf, 1
101,asymmetric,max1,0.19, 0.0, 0.0, inf, 1
104,asymmetric,max1,0.2, 0.0, 0.0, inf, 1
105,asymmetric,max1,0.21, 0.0, 0.0, inf, 1
108,asymmetric,max1,0.22, 0.0, 0.0, inf, 1
109,asymmetric,max1,0.23, 0.0, 0.0, inf, 1
113,asymmetric,max1,0.24, 0.0, 0.0, inf, 1
337,asymmetric,max1,0.25, 0.023, 0.1, 5187.0, 1
353,asymmetric,max1,0.26, 0.048, 0.1, 4566.0, 1
363,asymmetric,max1,0.27, 0.068, 0.1, 4251.0, 1
369,asymmetric,max1,0.28, 0.08600000000000001, 0.1, 4025.0, 1
388,asymmetric,max1,0.28, 0.1, 0.1, 3868.0, 1
386,asymmetric,max1,0.3, 0.1, 0.1, 3869.0, 1
383,asymmetric,max1,0.31, 0.1, 0.1, 3867.0, 1
381,asymmetric,max1,0.32, 0.1, 0.1, 3863.0, 1
378,asymmetric,max1,0.33, 0.1, 0.1, 3857.0, 1
384,asymmetric,max1,0.34, 0.1, 0.1, 3849.0, 1
387,asymmetric,max1,0.35, 0.1, 0.1, 3837.0, 1
380,asymmetric,max1,0.36, 0.1, 0.1, 3822.0, 1
379,asymmetric,max1,0.37, 0.1, 0.1, 3804.0, 1
389,asymmetric,max1,0.38, 0.1, 0.1, 3781.0, 1
390,asymmetric,max1,0.39, 0.1, 0.1, 3753.0, 1
382,asymmetric,max1,0.4, 0.1, 0.1, 3720.0, 1
405,asymmetric,max1,0.41, 0.1, 0.1, 3681.0, 1
420,asymmetric,max1,0.42, 0.1, 0.1, 3635.0, 1
422,asymmetric,max1,0.43, 0.1, 0.1, 3582.0, 1
430,asymmetric,max1,0.44, 0.1, 0.1, 3520.0, 1
407,asymmetric,max1,0.45, 0.1, 0.1, 3449.0, 1
416,asymmetric,max1,0.46, 0.1, 0.1, 3367.0, 1
408,asymmetric,max1,0.47, 0.043000000000000003, 0.1, 3230.0, 1
418,asymmetric,max1,0.48, 0.052000000000000005, 0.1, 2852.0, 1
