R05constraint0.1kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa1.01 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa1.01 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa1.01 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa1.0 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa1.01 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa1.0 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa1.0 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa1.01 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa1.0 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa1.0 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa1.01 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa1.01 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa1.0 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.99 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.99 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa1.0 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.99 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa1.0 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa1.01 (0.001, 0.001) 8899.0 1
R06constraint0.2kappa0.99 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.99 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.99 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.99 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.99 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa1.0 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.99 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.99 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.99 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.99 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.98 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.97 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa1.0 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.97 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.99 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.97 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa1.0 (0.0, 0.0) 199999.0 1
R02constraint0.15kappa1.01 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.99 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.97 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa1.0 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.98 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.96 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.98 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.97 (0.0, 0.0) 199999.0 1
R02constraint0.3kappa1.01 (0.003, 0.003) 1.0 1
R02constraint0.25kappa1.01 (0.003, 0.003) 1.0 1
R02constraint0.2kappa1.01 (0.003, 0.003) 1.0 1
R04constraint0.15kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.99 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.97 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.97 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.99 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa1.0 (0.001, 0.001) 9165.0 1
R06constraint0.2kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.97 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.98 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.96 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.99 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.97 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.97 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.98 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.97 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.96 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.96 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.97 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.99 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.99 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.98 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa1.0 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.96 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.96 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.97 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.97 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.93 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.98 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.92 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.99 (0.001, 0.001) 9448.0 1
R04constraint0.3kappa0.97 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.93 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.96 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.92 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.92 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.93 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.97 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.91 (0.0, 0.0) 199999.0 1
R03constraint0.2kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R02constraint0.15kappa1.0 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.96 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.92 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.93 (0.0, 0.0) 199999.0 1
R03constraint0.25kappa0.98 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R02constraint0.3kappa1.0 (0.003, 0.003) 1.0 1
R06constraint0.15kappa0.91 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.91 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.9 (0.0, 0.0) 199999.0 1
R02constraint0.2kappa1.0 (0.003, 0.003) 1.0 1
R06constraint0.25kappa0.92 (0.0, 0.0) 199999.0 1
R03constraint0.15kappa0.97 (0.0, 0.0) 199999.0 1
R02constraint0.25kappa1.0 (0.003, 0.003) 1.0 1
R05constraint0.3kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.3kappa0.96 (0.0, 0.0) 199999.0 1
R04constraint0.2kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R04constraint0.15kappa0.9400000000000001 (0.0, 0.0) 199999.0 1
R05constraint0.2kappa0.93 (0.0, 0.0) 199999.0 1
R05constraint0.15kappa0.92 (0.0, 0.0) 199999.0 1
R06constraint0.2kappa0.91 (0.0, 0.0) 199999.0 1
R06constraint0.15kappa0.9 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.89 (0.0, 0.0) 199999.0 1
R05constraint0.1kappa0.9 (0.0, 0.0) 199999.0 1
R06constraint0.3kappa0.92 (0.0, 0.0) 199999.0 1
R02constraint0.1kappa0.99 (0.0, 0.0) 199999.0 1
R03constraint0.1kappa0.96 (0.0, 0.0) 199999.0 1
R04constraint0.25kappa0.9500000000000001 (0.0, 0.0) 199999.0 1
R06constraint0.25kappa0.91 (0.0, 0.0) 199999.0 1
R04constraint0.1kappa0.93 (0.0, 0.0) 199999.0 1
R05constraint0.25kappa0.93 (0.0, 0.0) 199999.0 1
R03constraint0.3kappa0.98 (0.001, 0.001) 9748.0 1
R03constraint0.2kappa0.97 (0.0, 0.0) 199999.0 1
R05constraint0.3kappa0.93 (0.0, 0.0) 199999.0 1
R06constraint0.1kappa0.88 (0.0, 0.0) 199999.0 1
