,Kappa2,Threshold2,Cost
52,0.0,"(0.0, 0.0)",inf
295,0.0,"(0.0, 0.0)",inf
77,0.0,"(0.0, 0.0)",inf
112,0.0,"(0.0, 0.0)",inf
225,0.01,"(0.0, 0.0)",inf
146,0.01,"(0.0, 0.0)",inf
162,0.01,"(0.0, 0.0)",inf
379,0.01,"(0.0, 0.0)",inf
23,0.02,"(0.0, 0.0)",inf
6,0.02,"(0.0, 0.0)",inf
384,0.02,"(0.0, 0.0)",inf
219,0.02,"(0.0, 0.0)",inf
105,0.03,"(0.0, 0.0)",inf
58,0.03,"(0.0, 0.0)",inf
339,0.03,"(0.0, 0.0)",inf
120,0.03,"(0.0, 0.0)",inf
350,0.04,"(0.0, 0.0)",inf
88,0.04,"(0.0, 0.0)",inf
131,0.04,"(0.0, 0.0)",inf
175,0.04,"(0.0, 0.0)",inf
264,0.05,"(0.0, 0.0)",inf
358,0.05,"(0.0, 0.0)",inf
250,0.05,"(0.0, 0.0)",inf
212,0.05,"(0.0, 0.0)",inf
303,0.06,"(0.0, 0.0)",inf
364,0.06,"(0.0, 0.0)",inf
206,0.06,"(0.0, 0.0)",inf
334,0.06,"(0.0, 0.0)",inf
95,0.07,"(0.0, 0.0)",inf
31,0.07,"(0.0, 0.0)",inf
245,0.07,"(0.0, 0.0)",inf
126,0.07,"(0.0, 0.0)",inf
288,0.08,"(0.0, 0.0)",inf
40,0.08,"(0.0, 0.0)",inf
240,0.08,"(0.0, 0.0)",inf
188,0.08,"(0.0, 0.0)",inf
318,0.09,"(0.0, 0.0)",inf
257,0.09,"(0.0, 0.0)",inf
108,0.09,"(0.0, 0.0)",inf
391,0.09,"(0.0, 0.0)",inf
57,0.1,"(0.0, 0.0)",inf
174,0.1,"(0.0, 0.0)",inf
323,0.1,"(0.0, 0.0)",inf
106,0.1,"(0.0, 0.0)",inf
383,0.11,"(0.0, 0.0)",inf
220,0.11,"(0.0, 0.0)",inf
231,0.11,"(0.0, 0.0)",inf
274,0.11,"(0.0, 0.0)",inf
226,0.12,"(0.0, 0.0)",inf
368,0.12,"(0.0, 0.0)",inf
378,0.12,"(0.0, 0.0)",inf
312,0.12,"(0.0, 0.0)",inf
113,0.13,"(0.0, 0.0)",inf
51,0.13,"(0.0, 0.0)",inf
256,0.13,"(0.0, 0.0)",inf
24,0.13,"(0.0, 0.0)",inf
32,0.14,"(0.0, 0.0)",inf
291,0.14,"(0.0, 0.0)",inf
127,0.14,"(0.0, 0.0)",inf
94,0.14,"(0.0, 0.0)",inf
207,0.15,"(0.0, 0.0)",inf
363,0.15,"(0.0, 0.0)",inf
140,0.15,"(0.0, 0.0)",inf
156,0.15,"(0.0, 0.0)",inf
14,0.16,"(0.0, 0.0)",inf
213,0.16,"(0.0, 0.0)",inf
357,0.16,"(0.0, 0.0)",inf
64,0.16,"(0.0, 0.0)",inf
87,0.17,"(0.0, 0.0)",inf
133,0.17,"(0.0, 0.0)",inf
333,0.17,"(0.0, 0.0)",inf
150,0.17,"(0.0, 0.0)",inf
121,0.18,"(0.0, 0.0)",inf
35,0.18,"(0.0, 0.0)",inf
192,0.18,"(0.0, 0.0)",inf
107,0.18,"(0.0, 0.0)",inf
315,0.19,"(0.0, 0.0)",inf
263,0.19,"(0.0, 0.0)",inf
204,0.19,"(0.0, 0.0)",inf
8,0.19,"(0.0, 0.0)",inf
26,0.2,"(0.0, 0.0)",inf
129,0.2,"(0.0, 0.0)",inf
27,0.2,"(0.0, 0.0)",inf
91,0.2,"(0.0, 0.0)",inf
209,0.21,"(0.0, 0.0)",inf
117,0.21,"(0.0, 0.0)",inf
308,0.21,"(0.0, 0.0)",inf
360,0.21,"(0.0, 0.0)",inf
70,0.22,"(0.0, 0.0)",inf
261,0.22,"(0.0, 0.0)",inf
354,0.22,"(0.0, 0.0)",inf
215,0.22,"(0.0, 0.0)",inf
135,0.23,"(0.0, 0.0)",inf
84,0.23,"(0.0, 0.0)",inf
170,0.23,"(0.0, 0.0)",inf
177,0.23,"(0.0, 0.0)",inf
60,0.24,"(0.0, 0.0)",inf
344,0.24,"(0.0, 0.0)",inf
342,0.24,"(0.0, 0.0)",inf
102,0.24,"(0.0, 0.0)",inf
237,0.25,"(0.0, 0.0)",inf
387,0.25,"(0.0, 0.0)",inf
217,0.25,"(0.0, 0.0)",inf
0,0.25,"(0.0, 0.0)",inf
381,0.26,"(0.0, 0.0)",inf
151,0.26,"(0.0, 0.0)",inf
347,0.26,"(0.0, 0.0)",inf
223,0.26,"(0.0, 0.0)",inf
293,0.27,"(0.0, 0.0)",inf
110,0.27,"(0.0, 0.0)",inf
251,0.27,"(0.0, 0.0)",inf
55,0.27,"(0.0, 0.0)",inf
11,0.28,"(0.0, 0.0)",inf
78,0.28,"(0.0, 0.0)",inf
197,0.28,"(0.0, 0.0)",inf
148,0.28,"(0.0, 0.0)",inf
49,0.3,"(0.0, 0.0)",inf
179,0.3,"(0.0, 0.0)",inf
255,0.3,"(0.0, 0.0)",inf
122,0.3,"(0.0, 0.0)",inf
266,0.31,"(0.0, 0.0)",inf
182,0.31,"(0.0, 0.0)",inf
310,0.31,"(0.0, 0.0)",inf
20,0.31,"(0.0, 0.0)",inf
164,0.32,"(0.0, 0.0)",inf
270,0.32,"(0.0, 0.0)",inf
37,0.32,"(0.0, 0.0)",inf
305,0.32,"(0.0, 0.0)",inf
299,0.33,"(0.0, 0.0)",inf
184,0.33,"(0.0, 0.0)",inf
74,0.33,"(0.0, 0.0)",inf
45,0.33,"(0.0, 0.0)",inf
5,0.34,"(0.0, 0.0)",inf
157,0.34,"(0.0, 0.0)",inf
242,0.34,"(0.0, 0.0)",inf
168,0.34,"(0.0, 0.0)",inf
284,0.35,"(0.0, 0.0)",inf
279,0.35,"(0.0, 0.0)",inf
328,0.35,"(0.0, 0.0)",inf
337,0.35,"(0.0, 0.0)",inf
325,0.36,"(0.0, 0.0)",inf
319,0.36,"(0.0, 0.0)",inf
247,0.36,"(0.0, 0.0)",inf
283,0.36,"(0.0, 0.0)",inf
18,0.37,"(0.0, 0.0)",inf
1,0.37,"(0.0, 0.0)",inf
160,0.37,"(0.0, 0.0)",inf
351,0.37,"(0.0, 0.0)",inf
100,0.38,"(0.0, 0.0)",inf
61,0.38,"(0.0, 0.0)",inf
297,0.38,"(0.0, 0.0)",inf
198,0.38,"(0.0, 0.0)",inf
200,0.39,"(0.0, 0.0)",inf
234,0.39,"(0.0, 0.0)",inf
139,0.39,"(0.0, 0.0)",inf
372,0.39,"(0.0, 0.0)",inf
71,0.4,"(0.0, 0.0)",inf
302,0.4,"(0.0, 0.0)",inf
275,0.4,"(0.0, 0.0)",inf
345,0.4,"(0.0, 0.0)",inf
187,0.41,"(0.0, 0.0)",inf
41,0.41,"(0.0, 0.0)",inf
171,0.41,"(0.0, 0.0)",inf
3,0.41,"(0.0, 0.0)",inf
183,0.42,"(0.0, 0.0)",inf
30,0.42,"(0.0, 0.0)",inf
47,0.42,"(0.0, 0.0)",inf
147,0.42,"(0.0, 0.0)",inf
119,0.43,"(0.0, 0.0)",inf
