,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
320,asymmetric,max1,0.44,0.008,0.081,7601, 1
323,asymmetric,max1,0.45,0.021,0.079,6257, 1
327,asymmetric,max1,0.46,0.032,0.078,5625, 1
329,asymmetric,max1,0.47,0.043,0.076,5224, 1
331,asymmetric,max1,0.48,0.052,0.075,4915, 1
332,asymmetric,max1,0.49,0.06,0.073,4721, 1
334,asymmetric,max1,0.5,0.067,0.071,4569, 1
336,asymmetric,max1,0.51,0.073,0.069,4450, 1
338,asymmetric,max1,0.52,0.079,0.067,4340, 1
335,asymmetric,max1,0.53,0.083,0.064,4319, 1
346,asymmetric,max1,0.54,0.087,0.062,4246, 1
347,asymmetric,max1,0.55,0.091,0.06,4179, 1
344,asymmetric,max1,0.56,0.094,0.057,4181, 1
342,asymmetric,max1,0.57,0.098,0.051,4220, 1
343,asymmetric,max1,0.57,0.096,0.054,4198, 1
340,asymmetric,max1,0.59,0.099,0.047,4319, 1
339,asymmetric,max1,0.6,0.099,0.043,4439, 1
333,asymmetric,max1,0.61,0.099,0.04,4497, 1
330,asymmetric,max1,0.62,0.099,0.036,4646, 1
328,asymmetric,max1,0.63,0.099,0.032,4819, 1
326,asymmetric,max1,0.64,0.099,0.028,5023, 1
324,asymmetric,max1,0.65,0.099,0.024,5268, 1
322,asymmetric,max1,0.66,0.099,0.02,5573, 1
321,asymmetric,max1,0.67,0.099,0.016,5963, 1
319,asymmetric,max1,0.68,0.099,0.012,6493, 1
318,asymmetric,max1,0.69,0.099,0.008,7284, 1
317,asymmetric,max1,0.7,0.099,0.004,8724, 1
316,asymmetric,max1,0.71,0.099,0.0,998036, 1
314,asymmetric,max1,0.72,0.099,0.0,998036, 1
311,asymmetric,max1,0.73,0.099,0.0,998036, 1
313,asymmetric,max1,0.74,0.099,0.0,998036, 1
312,asymmetric,max1,0.75,0.099,0.0,998036, 1
310,asymmetric,max1,0.76,0.099,0.0,998036, 1
303,asymmetric,max1,0.77,0.099,0.0,998036, 1
315,asymmetric,max1,0.78,0.099,0.0,998036, 1
305,asymmetric,max1,0.79,0.099,0.0,998036, 1
300,asymmetric,max1,0.8,0.099,0.0,998036, 1
308,asymmetric,max1,0.81,0.099,0.0,998036, 1
309,asymmetric,max1,0.82,0.099,0.0,998036, 1
295,asymmetric,max1,0.83,0.099,0.0,998036, 1
301,asymmetric,max1,0.84,0.099,0.0,998036, 1
294,asymmetric,max1,0.85,0.099,0.0,998036, 1
306,asymmetric,max1,0.86,0.099,0.0,998036, 1
304,asymmetric,max1,0.87,0.099,0.0,998036, 1
299,asymmetric,max1,0.88,0.099,0.0,998036, 1
298,asymmetric,max1,0.89,0.099,0.0,998036, 1
307,asymmetric,max1,0.9,0.099,0.0,998036, 1
291,asymmetric,max1,0.91,0.099,0.0,998036, 1
297,asymmetric,max1,0.92,0.099,0.0,998036, 1
302,asymmetric,max1,0.93,0.099,0.0,998036, 1
293,asymmetric,max1,0.94,0.099,0.0,998036, 1
287,asymmetric,max1,0.95,0.099,0.0,998036, 1
277,asymmetric,max1,0.96,0.099,0.0,998036, 1
251,asymmetric,max1,0.97,0.099,0.0,998036, 1
260,asymmetric,max1,0.98,0.099,0.0,998036, 1
268,asymmetric,max1,0.99,0.099,0.0,998036, 1
325,asymmetric,nomax,0.44,0.008,0.099,10575, 3684
337,asymmetric,nomax,0.45,0.021,0.099,8227, 2755
341,asymmetric,nomax,0.46,0.032,0.099,7159, 2336
345,asymmetric,nomax,0.47,0.043,0.099,6372, 2021
348,asymmetric,nomax,0.48,0.052,0.099,5841, 1814
349,asymmetric,nomax,0.49,0.06,0.099,5416, 1649
350,asymmetric,nomax,0.5,0.067,0.099,5065, 1515
351,asymmetric,nomax,0.51,0.073,0.099,4773, 1406
352,asymmetric,nomax,0.52,0.079,0.099,4485, 1290
353,asymmetric,nomax,0.53,0.083,0.099,4283, 1227
354,asymmetric,nomax,0.54,0.087,0.099,4088, 1167
355,asymmetric,nomax,0.55,0.091,0.099,3904, 1111
356,asymmetric,nomax,0.56,0.094,0.099,3759, 1082
357,asymmetric,nomax,0.57,0.096,0.099,3649, 1079
367,asymmetric,nomax,0.57,0.098,0.099,3541, 1076
360,asymmetric,nomax,0.59,0.099,0.099,3460, 1094
385,asymmetric,nomax,0.6,0.099,0.099,3405, 1139
365,asymmetric,nomax,0.61,0.099,0.099,3349, 1181
377,asymmetric,nomax,0.62,0.099,0.099,3295, 1221
359,asymmetric,nomax,0.63,0.099,0.099,3243, 1260
373,asymmetric,nomax,0.64,0.099,0.099,3192, 1296
386,asymmetric,nomax,0.65,0.099,0.099,3143, 1332
361,asymmetric,nomax,0.66,0.099,0.099,3096, 1366
371,asymmetric,nomax,0.67,0.099,0.099,3050, 1398
358,asymmetric,nomax,0.68,0.099,0.099,3005, 1428
366,asymmetric,nomax,0.69,0.099,0.099,2961, 1457
383,asymmetric,nomax,0.7,0.099,0.099,2919, 1485
384,asymmetric,nomax,0.71,0.099,0.099,2878, 1511
392,asymmetric,nomax,0.72,0.099,0.099,2838, 1536
382,asymmetric,nomax,0.73,0.099,0.099,2799, 1559
378,asymmetric,nomax,0.74,0.099,0.099,2761, 1582
396,asymmetric,nomax,0.75,0.099,0.099,2724, 1603
379,asymmetric,nomax,0.76,0.099,0.099,2688, 1623
370,asymmetric,nomax,0.77,0.099,0.099,2654, 1643
389,asymmetric,nomax,0.78,0.099,0.099,2620, 1661
381,asymmetric,nomax,0.79,0.099,0.099,2586, 1677
363,asymmetric,nomax,0.8,0.099,0.099,2554, 1694
374,asymmetric,nomax,0.81,0.099,0.099,2523, 1709
398,asymmetric,nomax,0.82,0.099,0.099,2492, 1723
376,asymmetric,nomax,0.83,0.099,0.099,2462, 1736
369,asymmetric,nomax,0.84,0.099,0.099,2433, 1749
362,asymmetric,nomax,0.85,0.099,0.099,2404, 1760
368,asymmetric,nomax,0.86,0.099,0.099,2376, 1770
388,asymmetric,nomax,0.87,0.099,0.099,2349, 1780
375,asymmetric,nomax,0.88,0.099,0.099,2322, 1789
387,asymmetric,nomax,0.89,0.099,0.099,2296, 1797
393,asymmetric,nomax,0.9,0.099,0.099,2270, 1804
395,asymmetric,nomax,0.91,0.099,0.099,2245, 1810
397,asymmetric,nomax,0.92,0.099,0.099,2221, 1816
380,asymmetric,nomax,0.93,0.099,0.099,2197, 1821
391,asymmetric,nomax,0.94,0.099,0.099,2174, 1826
390,asymmetric,nomax,0.95,0.099,0.099,2151, 1829
364,asymmetric,nomax,0.96,0.099,0.099,2129, 1833
399,asymmetric,nomax,0.97,0.099,0.099,2107, 1835
372,asymmetric,nomax,0.98,0.099,0.099,2085, 1836
394,asymmetric,nomax,0.99,0.099,0.099,2064, 1837
129,symmetric,max1,0.44,0.008,0.008,13553, 1
132,symmetric,max1,0.45,0.021,0.021,9964, 1
172,symmetric,max1,0.46,0.032,0.032,8292, 1
183,symmetric,max1,0.47,0.043,0.043,7024, 1
195,symmetric,max1,0.48,0.052,0.052,6138, 1
213,symmetric,max1,0.49,0.06,0.06,5407, 1
219,symmetric,max1,0.5,0.067,0.067,4781, 1
222,symmetric,max1,0.51,0.067,0.067,4655, 1
214,symmetric,max1,0.52,0.062,0.062,4900, 1
203,symmetric,max1,0.53,0.055,0.055,5362, 1
235,symmetric,max1,0.54,0.048,0.048,5927, 1
228,symmetric,max1,0.55,0.041,0.041,6638, 1
202,symmetric,max1,0.56,0.032,0.032,7973, 1
131,symmetric,max1,0.57,0.014,0.014,13800, 1
175,symmetric,max1,0.57,0.023,0.023,10044, 1
128,symmetric,max1,0.59,0.003,0.003,28687, 1
127,symmetric,max1,0.6,0.0,0.0,999999, 1
123,symmetric,max1,0.61,0.0,0.0,999999, 1
126,symmetric,max1,0.62,0.0,0.0,999999, 1
120,symmetric,max1,0.63,0.0,0.0,999999, 1
119,symmetric,max1,0.64,0.0,0.0,999999, 1
117,symmetric,max1,0.65,0.0,0.0,999999, 1
116,symmetric,max1,0.66,0.0,0.0,999999, 1
111,symmetric,max1,0.67,0.0,0.0,999999, 1
99,symmetric,max1,0.68,0.0,0.0,999999, 1
112,symmetric,max1,0.69,0.0,0.0,999999, 1
89,symmetric,max1,0.7,0.0,0.0,999999, 1
93,symmetric,max1,0.71,0.0,0.0,999999, 1
90,symmetric,max1,0.72,0.0,0.0,999999, 1
94,symmetric,max1,0.73,0.0,0.0,999999, 1
95,symmetric,max1,0.74,0.0,0.0,999999, 1
101,symmetric,max1,0.75,0.0,0.0,999999, 1
107,symmetric,max1,0.76,0.0,0.0,999999, 1
105,symmetric,max1,0.77,0.0,0.0,999999, 1
115,symmetric,max1,0.78,0.0,0.0,999999, 1
106,symmetric,max1,0.79,0.0,0.0,999999, 1
100,symmetric,max1,0.8,0.0,0.0,999999, 1
114,symmetric,max1,0.81,0.0,0.0,999999, 1
91,symmetric,max1,0.82,0.0,0.0,999999, 1
102,symmetric,max1,0.83,0.0,0.0,999999, 1
108,symmetric,max1,0.84,0.0,0.0,999999, 1
109,symmetric,max1,0.85,0.0,0.0,999999, 1
98,symmetric,max1,0.86,0.0,0.0,999999, 1
