,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns,S_left_during_lockdown,I_left_during_lockdown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,asymmetric,max1,0.44,0.008,0.081,7601,1,0.5308241092679821,-0.0730198311372716
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,323,asymmetric,max1,0.45,0.021,0.079,6257,1,0.5085646255704678,-0.058025460911436
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,327,asymmetric,max1,0.46,0.032,0.078,5625,1,0.4845139502304698,-0.0460262592525821
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,329,asymmetric,max1,0.47,0.043,0.076,5224,1,0.4647656416230225,-0.0330429772585469
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,331,asymmetric,max1,0.48,0.052,0.075,4915,1,0.4431661204327169,-0.0230973065369787
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,332,asymmetric,max1,0.49,0.06,0.073,4721,1,0.4254907766795709,-0.0131066382052028
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,334,asymmetric,max1,0.5,0.067,0.071,4569,1,0.4085878965416579,-0.004066298928726
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,336,asymmetric,max1,0.51,0.073,0.069,4450,1,0.3923905445551324,0.0039290130188049
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,338,asymmetric,max1,0.52,0.079,0.067,4340,1,0.3768229058311395,0.0119297981024314
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,335,asymmetric,max1,0.53,0.083,0.064,4319,1,0.3641851091261449,0.0188762116827867
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,346,asymmetric,max1,0.54,0.087,0.062,4246,1,0.3495042619731493,0.0249690658671681
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,347,asymmetric,max1,0.55,0.091,0.06,4179,1,0.3353559629764019,0.0309273400758671
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,344,asymmetric,max1,0.56,0.094,0.057,4181,1,0.323817065293565,0.0369648940534837
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,340,asymmetric,max1,0.59,0.099,0.047,4319,1,0.2920591092245918,0.0519093614963421
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,339,asymmetric,max1,0.6,0.099,0.043,4439,1,0.2827047744635502,0.055914571599789
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,333,asymmetric,max1,0.61,0.099,0.04,4497,1,0.2713587833535332,0.0589066107375149
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,330,asymmetric,max1,0.62,0.099,0.036,4646,1,0.2622358610273196,0.062909842775996
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,328,asymmetric,max1,0.63,0.099,0.032,4819,1,0.2532220957832157,0.0669126824717085
